RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE
5	-2669344	-3685917	22.035556	102.071667	220208	1020418	48QSK9771539662	NF48-05	P	PPL		LA	18				V				VOUKHEUCHIN	Vou Kheu Chin	Vou Kheu Chin	VOUKHEUCHIN	Vou Kheu Chin	Vou Kheu Chin		2001-07-20
5	-2669344	9074462	22.035556	102.071667	220208	1020418	48QSK9771539662	NF48-05	P	PPL		LA	18				N				BANVOUKHEUCHIN	Ban Voukheuchin	Ban Voukheuchin	BANVOUKHEUCHIN	Ban Voukheuchin	Ban Voukheuchin		2001-07-20
5	-2669334	-3685904	20.208333	103.051389	201230	1030305	48QTH9640535732	NF48-13	H	STM		LA	17				V				ONGVINH	Ong Vinh	Ong Vinh	VINH ONG	Vinh, Ong	Vinh, Ong		2001-08-21
5	-2669334	9078971	20.208333	103.051389	201230	1030305	48QTH9640535732	NF48-13	H	STM		LA	17				N			Nam	NAMVIN	Nam Vin	Nam Vin	VIN NAM	Vin, Nam	Vin, Nam		2001-08-21
5	-2667813	-3683406	21.069722	102.735833	210411	1024409	48QTJ6475231536	NF48-09	P	PPL		LA	18				V				PONGNANG	Pong Nang	Pong Nang	PONGNANG	Pong Nang	Pong Nang		2001-06-26
5	-2667813	9070300	21.069722	102.735833	210411	1024409	48QTJ6475231536	NF48-09	P	PPL		LA	18				N				BANPOUNGGNANG	Ban Pounggnang	Ban Pounggnang	BANPOUNGGNANG	Ban Pounggnang	Ban Pounggnang		2001-06-26
5	-2665534	9073834	22.378889	101.899167	222244	1015357	47QQE9854477643	NF47-08	T	MT		LA	18				N			Phou	PHOULAHOANCHAI	Phou Lahoanchai	Phou Lahoanchai	LAHOANCHAI PHOU	Lahoanchai, Phou	Lahoanchai, Phou		2001-07-19
5	-2665534	-3679694	22.378889	101.899167	222244	1015357	47QQE9854477643	NF47-08	T	MT		LA	18				V				LAHOAUCHAI	La Hoau Chaï	La Hoau Chai	LAHOAUCHAI	La Hoau Chaï	La Hoau Chai		2001-07-19
5	-2666553	-3681426	20.051667	103.930556	200306	1035550	48QUH8816217557	NF48-14	T	MT		LA	03				N			Phou	PHOUNAMBOUN	Phou Namboun	Phou Namboun	NAMBOUN PHOU	Namboun, Phou	Namboun, Phou		2001-05-31
5	-2666542	-3681408	20.083611	104.167222	200501	1041002	48QVH1293120951	NF48-14	P	PPL		LA	03				V				NALUM	Na Lum	Na Lum	NALUM	Na Lum	Na Lum		2001-08-27
5	-2666542	9079189	20.083611	104.167222	200501	1041002	48QVH1293120951	NF48-14	P	PPL		LA	03				N				BANNALUM	Ban Nalum	Ban Nalum	BANNALUM	Ban Nalum	Ban Nalum		2001-08-27
5	-2664926	-3678746	20.1025	103.798056	200609	1034753	48QUH7434523277	NF48-14	H	STM		LA	03				N			Houay	HOUAYKHAI	Houay Khai	Houay Khai	KHAI HOUAY	Khai, Houay	Khai, Houay		2001-05-31
5	-2664916	-3678732	20.033333	102.320556	200200	1021914	48QTH1969617416	NF48-13	T	MT		LA	17				N			Phou	PHOUKHA	Phou Kha	Phou Kha	KHA PHOU	Kha, Phou	Kha, Phou		2001-08-21
5	-2657150	-3666540	19.6	103.266667	193600	1031600	48QUG1820968141	NE48-01	P	PPL		LA	14				V				BANFAI	Ban Fai	Ban Fai	BANFAI	Ban Fai	Ban Fai		1994-01-25
5	-2657150	-3666552	19.6	103.266667	193600	1031600	48QUG1820968141	NE48-01	P	PPL		LA	14				N				BANFAY	Ban Fay	Ban Fay	BANFAY	Ban Fay	Ban Fay		1994-01-25
5	-2662666	-3675266	14.8	105.8	144800	1054800	48PWB8608836359	ND48-07	P	PPL		LA	02				N				BANTAPTAO	Ban Taptao	Ban Taptao	BANTAPTAO	Ban Taptao	Ban Taptao		1994-01-25
5	-2663292	-3676219	14.883333	105.883333	145300	1055300	48PWB9501945610	ND48-07	P	PPL		LA	02				N				BANVATTHAT	Ban Vatthat	Ban Vatthat	BANVATTHAT	Ban Vatthat	Ban Vatthat		1994-01-25
5	-2663281	-3676193	22.098056	102.3925	220553	1022333	48QTK3097045984	NF48-05	P	PPL		LA	18				N				BANVANHONAM	Ban Vanhônam	Ban Vanhonam	BANVANHONAM	Ban Vanhônam	Ban Vanhonam		2001-07-20
5	-2663035	9078174	16.365	106.134722	162154	1060805	48QXD2119009648	NE48-15	P	PPL		LA	20				V				BANTHOUN	Ban Thoun	Ban Thoun	BANTHOUN	Ban Thoun	Ban Thoun		2001-09-12
5	-2663035	-3675824	16.365	106.134722	162154	1060805	48QXD2119009648	NE48-15	P	PPL		LA	20				N		Ban Thoun		BANTHOUNb	Ban Thoun (1)	Ban Thoun (1)	BANTHOUNb	Ban Thoun (1)	Ban Thoun (1)		2001-09-12
5	-2662126	-3674417	20.733333	104.3	204400	1041800	48QVH2712092793	NF48-14	L	LCTY		LA	03				N				BANSENCHUM	Ban Sen Chum	Ban Sen Chum	BANSENCHUM	Ban Sen Chum	Ban Sen Chum		1994-01-25
5	-2662126	-3674415	20.733333	104.3	204400	1041800	48QVH2712092793	NF48-14	L	LCTY		LA	03				V				BANSENCHOUM	Ban Sen Choum	Ban Sen Choum	BANSENCHOUM	Ban Sen Choum	Ban Sen Choum		1994-01-25
5	-2661407	-3673235	20.55	104.016667	203300	1040100	48QUH9749672655	NF48-14	P	PPL		LA	03				N				BANPHIASU	Ban Phia Su	Ban Phia Su	BANPHIASU	Ban Phia Su	Ban Phia Su		1994-01-25
5	-2663634	9066585	21.965	102.095833	215754	1020545	48QTK0006331798	NF48-09	T	MT		LA	18				N			Phou	PHOUKAIPANGLENG	Phou Kaipanglèng	Phou Kaipangleng	KAIPANGLENG PHOU	Kaipanglèng, Phou	Kaipangleng, Phou		2001-05-24
