RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE
5	-1027518	-1517951	13.7	103.483333	134200	1032900	48PUA3598715062	ND48-09	P	PPL		CB	24				N				PHUMIKOUKANGKOT	Phumĭ Koŭk Ângkót	Phumi Kouk Angkot	PHUMIKOUKANGKOT	Phumĭ Koŭk Ângkót	Phumi Kouk Angkot		2009-05-12
5	-1023846	-1510939	11.416667	104.866667	112500	1045200	48PVT8545562054	NC48-02	A	ADMD		CB	07				V				SROKKANDALSTUNG	Srok Kandal Stung	Srok Kandal Stung	KANDALSTUNG SROK	Kandal Stung, Srok	Kandal Stung, Srok		2009-05-14
5	-1023846	-1510940	11.416667	104.866667	112500	1045200	48PVT8545562054	NC48-02	A	ADMD		CB	07				V				SROKKANDALSTUNO	Srok Kandal Stuno	Srok Kandal Stuno	KANDALSTUNO SROK	Kandal Stuno, Srok	Kandal Stuno, Srok		2009-05-14
5	-1023846	-1510938	11.416667	104.866667	112500	1045200	48PVT8545562054	NC48-02	A	ADMD		CB	07				N		Kândal Stœ̆ng		SROKKANDALSTOENG	Srŏk Kândal Stœ̆ng	Srok Kandal Stoeng	KANDALSTOENG SROK	Kândal Stœ̆ng, Srŏk	Kandal Stoeng, Srok		2009-05-14
5	-1028691	-1519472	11.416667	104.9	112500	1045400	48PVT8909162053	NC48-02	P	PPL		CB	07				N				PHUMIPOUTHISMAT	Phumĭ Poŭthĭ Smăt	Phumi Pouthi Smat	PHUMIPOUTHISMAT	Phumĭ Poŭthĭ Smăt	Phumi Pouthi Smat		2009-05-14
5	-1028691	-1519426	11.416667	104.9	112500	1045400	48PVT8909162053	NC48-02	P	PPL		CB	07				V				PHUMIPOUSMAT	Phumĭ Poŭ Smat	Phumi Pou Smat	PHUMIPOUSMAT	Phumĭ Poŭ Smat	Phumi Pou Smat		2009-05-14
5	-1028691	-1509683	11.416667	104.9	112500	1045400	48PVT8909162053	NC48-02	P	PPL		CB	07				V				CHHMAPOUN	Chhma Poun	Chhma Poun	CHHMAPOUN	Chhma Poun	Chhma Poun		2009-05-14
5	8035786	8035786	13.090278	102.733056	130525	1024359	48PTV5420148221	ND48-09	H	STMI		CB	29				D			O	OSOT	O Sot	O Sot	SOT O	Sot, O	Sot, O		2009-05-14
5	8035416	8035416	13.211667	102.411944	131242	1022443	48PTV1950161992	ND48-09	H	LKI		CB	29				D			Bœ̆ng	BOENGVEALPREY	Bœ̆ng Véal Prey	Boeng Veal Prey	VEALPREY BOENG	Véal Prey, Bœ̆ng	Veal Prey, Boeng		2009-05-14
5	-1025275	-1514172	12.675833	102.723611	124033	1024325	48PTV5277002366	ND48-13	P	PPL		CB	29				V				PHUMBALAING	Phum Balaing	Phum Balaing	PHUMBALAING	Phum Balaing	Phum Balaing		2009-05-14
5	-1025275	-1515179	12.675833	102.723611	124033	1024325	48PTV5277002366	ND48-13	P	PPL		CB	29				N				PHUMIBALENG	Phumĭ Bâlêng	Phumi Baleng	PHUMIBALENG	Phumĭ Bâlêng	Phumi Baleng		2009-05-14
5	-1025275	8035519	12.675833	102.723611	124033	1024325	48PTV5277002366	ND48-13	P	PPL		CB	29				V				PHUMBALENG	Phum Bâleng	Phum Baleng	PHUMBALENG	Phum Bâleng	Phum Baleng		2009-05-14
5	-1027030	-1524164	10.483333	104.55	102900	1043300	48PVS5075658887	NC48-06	P	PPL		CB	21				V				PHUMKOSTHNOT	Phum Kos Thnot	Phum Kos Thnot	PHUMKOSTHNOT	Phum Kos Thnot	Phum Kos Thnot		2009-05-12
5	-1027030	-1517347	10.483333	104.55	102900	1043300	48PVS5075658887	NC48-06	P	PPL		CB	21				N				PHUMIKAOHTNAOT	Phumĭ Kaôh Tnaôt	Phumi Kaoh Tnaot	PHUMIKAOHTNAOT	Phumĭ Kaôh Tnaôt	Phumi Kaoh Tnaot		2009-05-12
5	-1025366	-1515283	13.933333	106.75	135600	1064500	48PXA8906441049	ND48-12	P	PPL		CB	23				N				PHUMIBANTIEMLEU	Phumĭ Ban Tiĕm Leu	Phumi Ban Tiem Leu	PHUMIBANTIEMLEU	Phumĭ Ban Tiĕm Leu	Phumi Ban Tiem Leu		2009-05-12
5	-1032757	-1527633	13.333333	103.833333	132000	1035000	48PUV7364874295	ND48-10	A	ADMD		CB	24				V				SROKSIEMREAP	Srok Siem Reap	Srok Siem Reap	SIEMREAP SROK	Siem Reap, Srok	Siem Reap, Srok		2009-05-12
5	-1032757	-1527628	13.333333	103.833333	132000	1035000	48PUV7364874295	ND48-10	A	ADMD		CB	24				N		Siĕmréab		SROKSIEMREAB	Srŏk Siĕmréab	Srok Siemreab	SIEMREAB SROK	Siĕmréab, Srŏk	Siemreab, Srok		2009-05-12
5	-1033587	-1530095	13.15	104.1	130900	1040600	48PVV0245853898	ND48-10	H	LK		CB	24				N				TRAPEANGVENG	Trâpeăng Vêng	Trapeang Veng	VENG TRAPEANG	Vêng, Trâpeăng	Veng, Trapeang		2009-05-12
5	-1027188	-1517532	13.600556	102.661389	133602	1023941	48PTA4695904765	ND48-09	P	PPL		CB	25				N				PHUMIKHAIDAN	Phumĭ Khai Dân	Phumi Khai Dan	PHUMIKHAIDAN	Phumĭ Khai Dân	Phumi Khai Dan		2009-05-14
5	-1027188	-1525306	13.600556	102.661389	133602	1023941	48PTA4695904765	ND48-09	P	PPL		CB	25				V				PHUMTHMEI	Phum Thmei	Phum Thmei	PHUMTHMEI	Phum Thmei	Phum Thmei		2009-05-14
5	-1027188	8002320	13.600556	102.661389	133602	1023941	48PTA4695904765	ND48-09	P	PPL		CB	25				V				PHUMKHAIDAN	Phum Khai Dân	Phum Khai Dan	PHUMKHAIDAN	Phum Khai Dân	Phum Khai Dan		2009-05-14
5	-1024760	-1513706	13.656111	102.5625	133922	1023345	48PTA3631511019	ND48-09	P	PPL		CB	25				N				PAOYPET	Paôy Pêt	Paoy Pet	PAOYPET	Paôy Pêt	Paoy Pet		2009-05-14
5	-1024760	-1518991	13.656111	102.5625	133922	1023345	48PTA3631511019	ND48-09	P	PPL		CB	25				V				PHUMIPAOYPET	Phumĭ Paôy Pêt	Phumi Paoy Pet	PHUMIPAOYPET	Phumĭ Paôy Pêt	Phumi Paoy Pet		2009-05-14
5	-1024760	8002282	13.656111	102.5625	133922	1023345	48PTA3631511019	ND48-09	P	PPL		CB	25				V				PHUMPAOYPET	Phum Paôy Pêt	Phum Paoy Pet	PHUMPAOYPET	Phum Paôy Pêt	Phum Paoy Pet		2009-05-14
5	-1024760	-1525704	13.656111	102.5625	133922	1023345	48PTA3631511019	ND48-09	P	PPL		CB	25				V				POIPET	Poipet	Poipet	POIPET	Poipet	Poipet		2009-05-14
5	-1023365	-1509749	13.25	104.416667	131500	1042500	48PVV3680664856	ND48-10	A	ADMD		CB	24				N		Chikrêng		SROKCHIKRENG	Srŏk Chikrêng	Srok Chikreng	CHIKRENG SROK	Chikrêng, Srŏk	Chikreng, Srok		2009-05-12
5	-1030719	-1521994	14.166667	102.983333	141000	1025900	48PTA8233767097	ND48-05	P	PPL		CB	25				N				PHUMITALOK	Phumĭ Talŏk	Phumi Talok	PHUMITALOK	Phumĭ Talŏk	Phumi Talok		2009-05-12
5	-1030719	-1528444	14.166667	102.983333	141000	1025900	48PTA8233767097	ND48-05	P	PPL		CB	25				V				TAKOK	Takok	Takok	TAKOK	Takok	Takok		2009-05-12
5	-1030719	-1528493	14.166667	102.983333	141000	1025900	48PTA8233767097	ND48-05	P	PPL		CB	25				V				TALOK	Talok	Talok	TALOK	Talok	Talok		2009-05-12
5	-1030719	-1528406	14.166667	102.983333	141000	1025900	48PTA8233767097	ND48-05	P	PPL		CB	25				V				TAKAK	Takak	Takak	TAKAK	Takak	Takak		2009-05-12
5	-1028220	-1518876	13.566667	107.316667	133400	1071900	48PYA5070200992	ND48-12	P	PPL		CB	23				N				PHUMIOKTAOK	Phumĭ Ŏk Taôk	Phumi Ok Taok	PHUMIOKTAOK	Phumĭ Ŏk Taôk	Phumi Ok Taok		2009-05-12
5	-1031542	-1522982	10.6	104.683333	103600	1044100	48PVS6536071769	NC48-06	P	PPL		CB	21				N				PHUMITRAPEANGKEH	Phumĭ Trâpeăng Kéh	Phumi Trapeang Keh	PHUMITRAPEANGKEH	Phumĭ Trâpeăng Kéh	Phumi Trapeang Keh		2009-05-12
5	-1031629	-1525457	13.566667	103.716667	133400	1034300	48PUA6114600167	ND48-10	P	PPL		CB	24				V				PHUMTRAPEANGPRING	Phum Trâpeăng Pring	Phum Trapeang Pring	PHUMTRAPEANGPRING	Phum Trâpeăng Pring	Phum Trapeang Pring		2009-05-12
5	-1031629	-1523081	13.566667	103.716667	133400	1034300	48PUA6114600167	ND48-10	P	PPL		CB	24				N				PHUMITRAPEANGPRING	Phumĭ Trâpeăng Pring	Phumi Trapeang Pring	PHUMITRAPEANGPRING	Phumĭ Trâpeăng Pring	Phumi Trapeang Pring		2009-05-12
5	-1033647	-1530183	9.916667	102.916667	95500	1025500	48PTR7157096914	NC48-05	T	ISLS		CB	00				N				POULOWAI	Poulo Wai	Poulo Wai	WAI POULO	Wai, Poulo	Wai, Poulo		2009-05-12
5	-1033647	-1512902	9.916667	102.916667	95500	1025500	48PTR7157096914	NC48-05	T	ISLS		CB	00				V				KAWKWANGNOI	Kaw Kwangnoi	Kaw Kwangnoi	KWANGNOI KAW	Kwangnoi, Kaw	Kwangnoi, Kaw		2009-05-12
5	-1033647	-1530237	9.916667	102.916667	95500	1025500	48PTR7157096914	NC48-05	T	ISLS		CB	00				V				POULOWAY	Poulo Way	Poulo Way	WAY POULO	Way, Poulo	Way, Poulo		2009-05-12
5	-1033647	-1530185	9.916667	102.916667	95500	1025500	48PTR7157096914	NC48-05	T	ISLS		CB	00				V				WAIISLANDS	Wai Islands	Wai Islands	WAIISLANDS	Wai Islands	Wai Islands		2009-05-12
5	-1033647	-1530184	9.916667	102.916667	95500	1025500	48PTR7157096914	NC48-05	T	ISLS		CB	00				V				PULOWAI	Pulo Wai	Pulo Wai	WAI PULO	Wai, Pulo	Wai, Pulo		2009-05-12
5	-1033647	-1530182	9.916667	102.916667	95500	1025500	48PTR7157096914	NC48-05	T	ISLS		CB	00				V				HONWAI	Hon Wai	Hon Wai	WAI HON	Wai, Hon	Wai, Hon		2009-05-12
5	-1033647	-1512903	9.916667	102.916667	95500	1025500	48PTR7157096914	NC48-05	T	ISLS		CB	00				V				KOHKWANGNOI	Koh Kwang Noi	Koh Kwang Noi	KWANGNOI KOH	Kwang Noi, Koh	Kwang Noi, Koh		2009-05-12
5	-1033647	255726	9.916667	102.916667	95500	1025500	48PTR7157096914	NC48-05	T	ISLS		CB	00				V				KOHWAI	Koh Wai	Koh Wai	WAI KOH	Wai, Koh	Wai, Koh		2009-05-12
5	-1033574	-1530074	10.216667	102.85	101300	1025100	48PTS6447530152	NC48-05	T	ISL		CB	00				N				ILOTVEER	Îlot Veer	Ilot Veer	VEER ILOT	Veer, Îlot	Veer, Ilot		2009-05-12
5	-1033574	-1530239	10.216667	102.85	101300	1025100	48PTS6447530152	NC48-05	T	ISL		CB	00				V				HONWEER	Hon Weer	Hon Weer	WEER HON	Weer, Hon	Weer, Hon		2009-05-12
5	-1033574	-1530098	10.216667	102.85	101300	1025100	48PTS6447530152	NC48-05	T	ISL		CB	00				V				ILOTVERT	Ilot Vert	Ilot Vert	VERT ILOT	Vert, Ilot	Vert, Ilot		2009-05-12
5	-1029900	8035672	13.103611	102.627222	130613	1023738	48PTV4273349802	ND48-09	P	PPL		CB	29				V				PHUMSAMSOEP	Phum Samsœ̆p	Phum Samsoep	PHUMSAMSOEP	Phum Samsœ̆p	Phum Samsoep		2009-05-14
5	-1029900	-1527344	13.103611	102.627222	130613	1023738	48PTV4273349802	ND48-09	P	PPL		CB	29				V				SAMSEP	Sam Sep	Sam Sep	SAMSEP	Sam Sep	Sam Sep		2009-05-14
5	-1029900	-1520972	13.103611	102.627222	130613	1023738	48PTV4273349802	ND48-09	P	PPL		CB	29				V				PHUMISAMSOEP	Phumĭ Samsœ̆p	Phumi Samsoep	PHUMISAMSOEP	Phumĭ Samsœ̆p	Phumi Samsoep		2009-05-14
